customer_id,first_name,last_name,email,city,state,signup_date,cohort_month,acquisition_channel
24,Neil,Khan,neil.khan24@lumen.example,Kansas,GA,2026-03-09,2026-02,direct
25,Tariq,Reddy,tariq.reddy25@lumen.example,Nashville,FL,2025-07-09,2025-06,social
26,Tariq,Kim,tariq.kim26@lumen.example,Kansas,NC,2024-10-24,2024-10,referral
27,Yara,Khan,yara.khan27@lumen.example,Detroit,AZ,2024-12-08,2024-11,organic
28,Leo,Sen,leo.sen28@lumen.example,Seattle,MN,2025-04-18,2025-03,direct
29,Neil,Khan,neil.khan29@lumen.example,Nashville,FL,2025-09-04,2025-08,email
30,Sofia,Ortiz,sofia.ortiz30@lumen.example,Denver,WA,2025-06-19,2025-05,email
31,Noah,Sen,noah.sen31@lumen.example,Dallas,MI,2026-01-11,2025-12,direct
32,Nico,Mehta,nico.mehta32@lumen.example,Austin,MO,2025-03-28,2025-02,social
33,Tobias,Kim,tobias.kim33@lumen.example,Austin,AZ,2024-11-01,2024-10,organic
34,Theo,Pillai,theo.pillai34@lumen.example,Detroit,GA,2025-11-20,2025-10,paid_search
35,Ravi,Bose,ravi.bose35@lumen.example,Chicago,NC,2026-02-21,2026-01,email
36,Yara,Bose,yara.bose36@lumen.example,Atlanta,IL,2024-11-20,2024-10,email
37,Theo,Vega,theo.vega37@lumen.example,Nashville,GA,2025-05-24,2025-04,direct
38,Kai,Kaur,kai.kaur38@lumen.example,Dallas,FL,2025-08-27,2025-08,referral
39,Leo,Sharma,leo.sharma39@lumen.example,Portland,MA,2025-10-14,2025-09,organic
40,Rohan,Sen,rohan.sen40@lumen.example,Raleigh,CO,2025-12-18,2025-11,paid_search
41,Jules,Gupta,jules.gupta41@lumen.example,Denver,AZ,2024-12-12,2024-11,organic
42,Lina,Reddy,lina.reddy42@lumen.example,Raleigh,OR,2024-10-28,2024-10,organic
43,Kai,Shah,kai.shah43@lumen.example,Kansas,GA,2025-08-25,2025-07,paid_search
44,Yara,Sharma,yara.sharma44@lumen.example,Portland,NC,2024-11-17,2024-10,paid_search
45,Anika,Bose,anika.bose45@lumen.example,Phoenix,AZ,2025-07-28,2025-07,referral
46,Leo,Joshi,leo.joshi46@lumen.example,Chicago,MN,2025-06-05,2025-05,email
47,Mira,Shah,mira.shah47@lumen.example,Austin,OR,2025-02-09,2025-01,social
48,Maya,Bose,maya.bose48@lumen.example,Nashville,AZ,2025-08-15,2025-07,direct
49,Ines,Ortiz,ines.ortiz49@lumen.example,Nashville,NC,2024-12-04,2024-11,email
50,Leo,Mehta,leo.mehta50@lumen.example,Kansas,MI,2025-09-05,2025-08,organic
51,Maya,Vega,maya.vega51@lumen.example,Atlanta,TX,2025-11-12,2025-10,social
52,Rohan,Mehta,rohan.mehta52@lumen.example,Boston,TN,2025-05-20,2025-04,referral
53,Neil,Pillai,neil.pillai53@lumen.example,Detroit,NC,2024-11-15,2024-10,referral
54,Ravi,Shah,ravi.shah54@lumen.example,Phoenix,MO,2024-12-15,2024-11,organic
55,Maya,Khan,maya.khan55@lumen.example,Boston,MO,2025-03-15,2025-02,organic
56,Elena,Nair,elena.nair56@lumen.example,Minneapolis,WA,2025-03-28,2025-02,direct
57,Yara,Pillai,yara.pillai57@lumen.example,Denver,MN,2025-09-26,2025-09,organic
58,Ezra,Bose,ezra.bose58@lumen.example,Seattle,AZ,2024-12-19,2024-11,paid_search
59,Amara,Ortiz,amara.ortiz59@lumen.example,Austin,MA,2025-09-13,2025-08,social
60,Omar,Das,omar.das60@lumen.example,Dallas,NC,2025-11-06,2025-10,social
61,Omar,Reddy,omar.reddy61@lumen.example,Phoenix,AZ,2025-01-17,2024-12,referral
62,Reya,Gupta,reya.gupta62@lumen.example,Austin,MO,2025-11-28,2025-11,paid_search
63,Kai,Nair,kai.nair63@lumen.example,Dallas,TN,2025-03-15,2025-02,organic
64,Sana,Reddy,sana.reddy64@lumen.example,Phoenix,IL,2025-11-08,2025-10,referral
65,Theo,Verma,theo.verma65@lumen.example,Phoenix,TX,2025-05-06,2025-04,direct
66,Rohan,Pillai,rohan.pillai66@lumen.example,Seattle,GA,2024-11-28,2024-10,organic
67,Aarav,Das,aarav.das67@lumen.example,Chicago,NC,2024-10-22,2024-10,social
68,Ines,Das,ines.das68@lumen.example,Seattle,FL,2025-07-04,2025-06,organic
69,Mira,Kim,mira.kim69@lumen.example,Austin,WA,2025-05-14,2025-04,referral
70,Jonah,Chen,jonah.chen70@lumen.example,Atlanta,MI,2026-02-10,2026-01,organic
71,Ezra,Kaur,ezra.kaur71@lumen.example,Seattle,MO,2025-02-19,2025-01,social
72,Ezra,Joshi,ezra.joshi72@lumen.example,Portland,WA,2025-12-25,2025-12,social
73,Maya,Bose,maya.bose73@lumen.example,Detroit,CO,2025-11-04,2025-10,organic
74,Lina,Shah,lina.shah74@lumen.example,Dallas,OR,2024-11-28,2024-10,referral
75,Sana,Joshi,sana.joshi75@lumen.example,Phoenix,WA,2025-11-19,2025-10,direct
76,Isla,Rao,isla.rao76@lumen.example,Kansas,MA,2026-02-12,2026-01,social
77,Yara,Verma,yara.verma77@lumen.example,Seattle,MO,2026-01-29,2026-01,social
78,Tobias,Joshi,tobias.joshi78@lumen.example,Detroit,WA,2025-10-07,2025-09,organic
79,Zara,Reddy,zara.reddy79@lumen.example,Portland,MI,2024-11-11,2024-10,organic
80,Elena,Nair,elena.nair80@lumen.example,Raleigh,OR,2026-01-29,2026-01,direct
81,Tariq,Rao,tariq.rao81@lumen.example,Denver,MI,2025-11-19,2025-10,email
82,Jonah,Iyer,jonah.iyer82@lumen.example,Chicago,IL,2025-08-24,2025-07,organic
83,Tariq,Park,tariq.park83@lumen.example,Chicago,AZ,2025-06-14,2025-05,organic
84,Aarav,Reddy,aarav.reddy84@lumen.example,Boston,FL,2025-09-24,2025-08,email
85,Aarav,Ortiz,aarav.ortiz85@lumen.example,Atlanta,OR,2026-02-13,2026-01,referral
86,Rohan,Iyer,rohan.iyer86@lumen.example,Atlanta,GA,2025-01-10,2024-12,referral
87,Kai,Chen,kai.chen87@lumen.example,Nashville,GA,2024-12-23,2024-11,organic
88,Nico,Nair,nico.nair88@lumen.example,Kansas,WA,2025-03-06,2025-02,organic
89,Theo,Verma,theo.verma89@lumen.example,Denver,TX,2024-10-13,2024-10,organic
90,Zara,Patel,zara.patel90@lumen.example,Miami,TX,2025-06-06,2025-05,direct
91,Yara,Singh,yara.singh91@lumen.example,Atlanta,TX,2025-02-05,2025-01,paid_search
92,Reya,Rao,reya.rao92@lumen.example,Dallas,GA,2025-07-06,2025-06,social
93,Sana,Shah,sana.shah93@lumen.example,Phoenix,NC,2024-12-07,2024-11,direct
94,Aarav,Rao,aarav.rao94@lumen.example,Chicago,FL,2025-09-13,2025-08,organic
95,Ezra,Bose,ezra.bose95@lumen.example,Denver,AZ,2025-01-02,2024-12,email
96,Theo,Shah,theo.shah96@lumen.example,Nashville,AZ,2025-02-19,2025-01,referral
97,Maya,Joshi,maya.joshi97@lumen.example,Minneapolis,TX,2026-03-08,2026-02,organic
98,Ines,Khan,ines.khan98@lumen.example,Kansas,FL,2025-03-25,2025-02,email
99,Ines,Sharma,ines.sharma99@lumen.example,Atlanta,GA,2024-12-18,2024-11,paid_search
100,Sofia,Pillai,sofia.pillai100@lumen.example,Minneapolis,OR,2025-11-09,2025-10,organic
101,Noah,Joshi,noah.joshi101@lumen.example,Kansas,OR,2024-11-20,2024-10,direct
102,Zara,Nair,zara.nair102@lumen.example,Seattle,MI,2025-09-04,2025-08,email
103,Zara,Vega,zara.vega103@lumen.example,Miami,MO,2025-11-06,2025-10,organic
104,Theo,Kim,theo.kim104@lumen.example,Dallas,WA,2025-04-19,2025-03,referral
105,Asha,Ortiz,asha.ortiz105@lumen.example,Denver,TX,2025-08-17,2025-07,organic
106,Amara,Mehta,amara.mehta106@lumen.example,Raleigh,AZ,2025-02-26,2025-01,paid_search
107,Tobias,Mehta,tobias.mehta107@lumen.example,Miami,TX,2025-08-02,2025-07,social
108,Arjun,Joshi,arjun.joshi108@lumen.example,Raleigh,TX,2025-01-31,2025-01,social
109,Ivan,Joshi,ivan.joshi109@lumen.example,Dallas,MA,2025-12-03,2025-11,organic
110,Nico,Pillai,nico.pillai110@lumen.example,Atlanta,MI,2025-02-12,2025-01,email
111,Nico,Ortiz,nico.ortiz111@lumen.example,Chicago,GA,2025-11-20,2025-10,paid_search
112,Ezra,Mehta,ezra.mehta112@lumen.example,Dallas,WA,2025-07-11,2025-06,organic
113,Noah,Shah,noah.shah113@lumen.example,Seattle,MO,2026-02-10,2026-01,referral
114,Nico,Mehta,nico.mehta114@lumen.example,Miami,TX,2024-10-07,2024-10,referral
115,Ivan,Reddy,ivan.reddy115@lumen.example,Austin,TN,2025-06-05,2025-05,referral
116,Maya,Kaur,maya.kaur116@lumen.example,Austin,MO,2024-10-10,2024-10,paid_search
117,Noah,Ortiz,noah.ortiz117@lumen.example,Nashville,CO,2026-01-30,2026-01,referral
118,Reya,Das,reya.das118@lumen.example,Miami,MN,2025-04-24,2025-03,referral
119,Theo,Joshi,theo.joshi119@lumen.example,Miami,FL,2025-05-31,2025-05,paid_search
120,Nico,Reddy,nico.reddy120@lumen.example,Dallas,MN,2025-11-03,2025-10,organic
121,Jules,Reddy,jules.reddy121@lumen.example,Portland,MI,2024-12-23,2024-11,paid_search
122,Omar,Kaur,omar.kaur122@lumen.example,Kansas,AZ,2024-11-06,2024-10,email
123,Maya,Chen,maya.chen123@lumen.example,Atlanta,FL,2024-12-09,2024-11,direct
124,Ezra,Shah,ezra.shah124@lumen.example,Kansas,MN,2024-12-02,2024-11,direct
125,Rohan,Singh,rohan.singh125@lumen.example,Miami,MO,2025-09-02,2025-08,organic
126,Theo,Khan,theo.khan126@lumen.example,Boston,FL,2025-05-13,2025-04,organic
127,Tariq,Ortiz,tariq.ortiz127@lumen.example,Kansas,FL,2026-01-08,2025-12,direct
128,Sana,Chen,sana.chen128@lumen.example,Denver,IL,2025-09-12,2025-08,direct
129,Elena,Bose,elena.bose129@lumen.example,Nashville,MA,2025-11-28,2025-11,email
130,Nico,Vega,nico.vega130@lumen.example,Atlanta,MO,2025-04-02,2025-03,referral
131,Neil,Singh,neil.singh131@lumen.example,Detroit,TX,2025-06-12,2025-05,referral
132,Ivan,Reddy,ivan.reddy132@lumen.example,Raleigh,WA,2024-10-09,2024-10,direct
133,Noah,Joshi,noah.joshi133@lumen.example,Boston,FL,2025-06-02,2025-05,social
134,Theo,Mehta,theo.mehta134@lumen.example,Detroit,GA,2025-02-06,2025-01,referral
135,Elena,Reddy,elena.reddy135@lumen.example,Kansas,MI,2025-10-01,2025-09,referral
136,Isla,Khan,isla.khan136@lumen.example,Denver,TN,2025-01-24,2024-12,direct
137,Mira,Patel,mira.patel137@lumen.example,Phoenix,MA,2024-11-03,2024-10,organic
138,Maya,Joshi,maya.joshi138@lumen.example,Kansas,IL,2024-10-04,2024-10,paid_search
139,Ivan,Ortiz,ivan.ortiz139@lumen.example,Dallas,TN,2024-12-10,2024-11,organic
140,Omar,Rao,omar.rao140@lumen.example,Phoenix,CO,2026-01-29,2026-01,referral
141,Tariq,Chen,tariq.chen141@lumen.example,Dallas,FL,2025-05-26,2025-04,organic
142,Tariq,Rao,tariq.rao142@lumen.example,Portland,CO,2026-02-26,2026-02,paid_search
143,Theo,Gupta,theo.gupta143@lumen.example,Portland,CO,2025-08-09,2025-07,organic
144,Priya,Rao,priya.rao144@lumen.example,Nashville,TN,2025-06-11,2025-05,direct
145,Arjun,Rao,arjun.rao145@lumen.example,Kansas,OR,2024-11-16,2024-10,direct
146,Ravi,Verma,ravi.verma146@lumen.example,Kansas,MO,2026-03-18,2026-02,organic
147,Isla,Pillai,isla.pillai147@lumen.example,Minneapolis,IL,2025-05-25,2025-04,organic
148,Arjun,Rao,arjun.rao148@lumen.example,Kansas,OR,2026-03-07,2026-02,email
149,Isla,Bose,isla.bose149@lumen.example,Atlanta,CO,2026-01-24,2026-01,email
150,Noah,Gupta,noah.gupta150@lumen.example,Detroit,TX,2025-08-21,2025-07,direct
151,Ezra,Pillai,ezra.pillai151@lumen.example,Kansas,MN,2025-05-22,2025-04,organic
152,Ivan,Khan,ivan.khan152@lumen.example,Phoenix,WA,2025-08-18,2025-07,social
153,Sofia,Kaur,sofia.kaur153@lumen.example,Detroit,NC,2025-11-19,2025-10,email
154,Elena,Park,elena.park154@lumen.example,Miami,FL,2025-05-16,2025-04,referral
155,Ezra,Chen,ezra.chen155@lumen.example,Seattle,FL,2026-02-12,2026-01,organic
156,Anika,Das,anika.das156@lumen.example,Austin,NC,2025-11-13,2025-10,organic
157,Jonah,Shah,jonah.shah157@lumen.example,Denver,CO,2025-09-28,2025-09,referral
158,Rohan,Iyer,rohan.iyer158@lumen.example,Miami,CO,2024-10-22,2024-10,email
159,Arjun,Reddy,arjun.reddy159@lumen.example,Miami,FL,2026-02-09,2026-01,social
160,Aisha,Ortiz,aisha.ortiz160@lumen.example,Portland,TX,2025-02-17,2025-01,organic
161,Ines,Singh,ines.singh161@lumen.example,Atlanta,MN,2025-05-09,2025-04,organic
162,Asha,Mehta,asha.mehta162@lumen.example,Atlanta,CO,2025-07-14,2025-06,referral
163,Priya,Park,priya.park163@lumen.example,Denver,GA,2025-10-29,2025-10,paid_search
164,Sana,Pillai,sana.pillai164@lumen.example,Seattle,MA,2025-11-08,2025-10,paid_search
165,Ivan,Mehta,ivan.mehta165@lumen.example,Raleigh,TN,2025-10-21,2025-09,direct
166,Sana,Patel,sana.patel166@lumen.example,Kansas,GA,2025-02-05,2025-01,organic
167,Lina,Mehta,lina.mehta167@lumen.example,Seattle,MO,2025-07-11,2025-06,social
168,Noah,Singh,noah.singh168@lumen.example,Denver,OR,2025-05-05,2025-04,social
169,Aisha,Nair,aisha.nair169@lumen.example,Atlanta,TX,2025-06-10,2025-05,email
170,Tobias,Sharma,tobias.sharma170@lumen.example,Denver,FL,2024-10-29,2024-10,email
171,Ravi,Shah,ravi.shah171@lumen.example,Chicago,FL,2026-01-05,2025-12,direct
172,Sofia,Park,sofia.park172@lumen.example,Atlanta,OR,2025-04-10,2025-03,paid_search
173,Jules,Sen,jules.sen173@lumen.example,Seattle,FL,2024-10-18,2024-10,organic
174,Zara,Bose,zara.bose174@lumen.example,Kansas,AZ,2024-12-23,2024-11,paid_search
175,Mira,Pillai,mira.pillai175@lumen.example,Atlanta,FL,2025-09-08,2025-08,organic
176,Theo,Pillai,theo.pillai176@lumen.example,Dallas,MO,2025-06-15,2025-05,organic
177,Zara,Sen,zara.sen177@lumen.example,Phoenix,TX,2025-03-20,2025-02,paid_search
178,Anika,Chen,anika.chen178@lumen.example,Austin,CO,2025-10-12,2025-09,email
179,Jules,Bose,jules.bose179@lumen.example,Detroit,AZ,2024-12-23,2024-11,organic
180,Kai,Singh,kai.singh180@lumen.example,Miami,WA,2025-10-20,2025-09,referral
181,Isla,Singh,isla.singh181@lumen.example,Miami,WA,2024-10-23,2024-10,organic
182,Reya,Gupta,reya.gupta182@lumen.example,Seattle,MN,2025-01-22,2024-12,direct
183,Elena,Patel,elena.patel183@lumen.example,Minneapolis,TX,2025-08-09,2025-07,paid_search
184,Maya,Das,maya.das184@lumen.example,Minneapolis,MI,2026-02-20,2026-01,email
185,Reya,Iyer,reya.iyer185@lumen.example,Portland,MA,2025-04-17,2025-03,referral
186,Ivan,Gupta,ivan.gupta186@lumen.example,Denver,TX,2025-10-22,2025-09,referral
187,Yara,Shah,yara.shah187@lumen.example,Denver,IL,2025-05-01,2025-04,referral
188,Zara,Verma,zara.verma188@lumen.example,Seattle,MO,2024-12-30,2024-12,direct
189,Aisha,Shah,aisha.shah189@lumen.example,Chicago,GA,2025-01-10,2024-12,paid_search
190,Aisha,Kim,aisha.kim190@lumen.example,Denver,MA,2026-02-14,2026-01,paid_search
191,Jules,Singh,jules.singh191@lumen.example,Minneapolis,NC,2025-07-04,2025-06,referral
192,Priya,Reddy,priya.reddy192@lumen.example,Austin,GA,2026-02-21,2026-01,direct
193,Maya,Pillai,maya.pillai193@lumen.example,Raleigh,TX,2025-04-27,2025-03,organic
194,Jules,Nair,jules.nair194@lumen.example,Minneapolis,TX,2025-03-28,2025-02,social
195,Arjun,Ortiz,arjun.ortiz195@lumen.example,Raleigh,CO,2024-12-16,2024-11,referral
196,Amara,Singh,amara.singh196@lumen.example,Denver,WA,2025-02-08,2025-01,direct
197,Asha,Das,asha.das197@lumen.example,Kansas,GA,2025-08-10,2025-07,organic
198,Arjun,Ortiz,arjun.ortiz198@lumen.example,Nashville,MO,2026-03-19,2026-02,email
199,Jules,Shah,jules.shah199@lumen.example,Seattle,FL,2025-11-01,2025-10,social
200,Theo,Joshi,theo.joshi200@lumen.example,Kansas,MA,2024-10-05,2024-10,direct
201,Omar,Joshi,omar.joshi201@lumen.example,Portland,OR,2025-10-13,2025-09,paid_search
202,Reya,Patel,reya.patel202@lumen.example,Kansas,GA,2025-10-17,2025-09,email
203,Jonah,Verma,jonah.verma203@lumen.example,Portland,IL,2025-01-30,2025-01,email
204,Noah,Shah,noah.shah204@lumen.example,Seattle,FL,2025-05-29,2025-05,direct
205,Ivan,Patel,ivan.patel205@lumen.example,Raleigh,OR,2024-12-17,2024-11,paid_search
206,Elena,Rao,elena.rao206@lumen.example,Raleigh,TX,2025-10-09,2025-09,direct
207,Ivan,Singh,ivan.singh207@lumen.example,Miami,WA,2025-06-05,2025-05,organic
208,Theo,Singh,theo.singh208@lumen.example,Minneapolis,GA,2025-05-12,2025-04,paid_search
209,Isla,Rao,isla.rao209@lumen.example,Seattle,NC,2026-01-24,2026-01,social
210,Jonah,Mehta,jonah.mehta210@lumen.example,Austin,OR,2024-10-21,2024-10,direct
211,Yara,Bose,yara.bose211@lumen.example,Detroit,TX,2026-02-19,2026-01,email
212,Mira,Bose,mira.bose212@lumen.example,Phoenix,MO,2025-08-23,2025-07,social
213,Tobias,Iyer,tobias.iyer213@lumen.example,Raleigh,MN,2026-02-09,2026-01,paid_search
214,Asha,Patel,asha.patel214@lumen.example,Phoenix,TX,2025-04-21,2025-03,email
215,Ravi,Kim,ravi.kim215@lumen.example,Raleigh,IL,2024-10-03,2024-10,email
216,Asha,Gupta,asha.gupta216@lumen.example,Denver,GA,2025-04-07,2025-03,direct
217,Jules,Vega,jules.vega217@lumen.example,Seattle,MN,2026-02-24,2026-02,email
218,Maya,Pillai,maya.pillai218@lumen.example,Miami,FL,2025-02-16,2025-01,referral
219,Ravi,Rao,ravi.rao219@lumen.example,Minneapolis,NC,2025-03-21,2025-02,social
220,Ivan,Chen,ivan.chen220@lumen.example,Nashville,NC,2025-01-09,2024-12,email
221,Kai,Reddy,kai.reddy221@lumen.example,Kansas,IL,2025-07-22,2025-06,social
222,Jules,Das,jules.das222@lumen.example,Portland,CO,2025-11-13,2025-10,social
223,Amara,Das,amara.das223@lumen.example,Minneapolis,GA,2025-09-17,2025-08,social
224,Isla,Kaur,isla.kaur224@lumen.example,Kansas,OR,2025-03-19,2025-02,referral
225,Tobias,Nair,tobias.nair225@lumen.example,Denver,TX,2025-10-03,2025-09,email
226,Sofia,Kim,sofia.kim226@lumen.example,Seattle,WA,2024-12-01,2024-11,paid_search
227,Sana,Khan,sana.khan227@lumen.example,Denver,MN,2025-02-01,2025-01,social
228,Sana,Kaur,sana.kaur228@lumen.example,Boston,FL,2025-06-24,2025-05,organic
229,Ravi,Iyer,ravi.iyer229@lumen.example,Minneapolis,NC,2024-11-24,2024-10,social
230,Arjun,Kaur,arjun.kaur230@lumen.example,Chicago,AZ,2024-10-29,2024-10,referral
231,Jonah,Pillai,jonah.pillai231@lumen.example,Detroit,WA,2025-08-02,2025-07,social
232,Sana,Pillai,sana.pillai232@lumen.example,Phoenix,WA,2025-12-03,2025-11,organic
233,Yara,Sen,yara.sen233@lumen.example,Seattle,TN,2025-10-03,2025-09,direct
234,Jonah,Sharma,jonah.sharma234@lumen.example,Seattle,TX,2025-10-05,2025-09,direct
235,Amara,Reddy,amara.reddy235@lumen.example,Minneapolis,CO,2024-12-30,2024-12,paid_search
236,Ezra,Gupta,ezra.gupta236@lumen.example,Detroit,IL,2025-09-15,2025-08,email
237,Maya,Das,maya.das237@lumen.example,Seattle,MO,2024-10-22,2024-10,email
238,Maya,Kaur,maya.kaur238@lumen.example,Portland,TX,2025-09-21,2025-08,email
239,Maya,Park,maya.park239@lumen.example,Miami,CO,2024-10-07,2024-10,direct
240,Mira,Singh,mira.singh240@lumen.example,Detroit,TN,2025-05-18,2025-04,direct
241,Isla,Iyer,isla.iyer241@lumen.example,Miami,NC,2025-05-11,2025-04,organic
242,Omar,Reddy,omar.reddy242@lumen.example,Phoenix,MN,2025-09-12,2025-08,organic
243,Omar,Sharma,omar.sharma243@lumen.example,Austin,MI,2025-07-01,2025-06,direct
244,Ezra,Pillai,ezra.pillai244@lumen.example,Kansas,MO,2025-06-04,2025-05,direct
245,Ivan,Park,ivan.park245@lumen.example,Kansas,MO,2025-07-06,2025-06,paid_search
246,Mira,Shah,mira.shah246@lumen.example,Atlanta,TX,2025-03-21,2025-02,organic
247,Yara,Joshi,yara.joshi247@lumen.example,Portland,CO,2024-10-28,2024-10,paid_search
248,Neil,Mehta,neil.mehta248@lumen.example,Detroit,IL,2025-09-20,2025-08,organic
249,Maya,Patel,maya.patel249@lumen.example,Austin,TX,2025-06-09,2025-05,organic
250,Elena,Nair,elena.nair250@lumen.example,Portland,MA,2025-07-10,2025-06,organic
251,Omar,Shah,omar.shah251@lumen.example,Nashville,FL,2025-05-16,2025-04,paid_search
252,Jonah,Sen,jonah.sen252@lumen.example,Boston,FL,2025-11-15,2025-10,referral
253,Aisha,Khan,aisha.khan253@lumen.example,Minneapolis,CO,2024-11-15,2024-10,paid_search
254,Ines,Kaur,ines.kaur254@lumen.example,Portland,NC,2025-09-22,2025-08,organic
255,Aarav,Sen,aarav.sen255@lumen.example,Chicago,CO,2024-11-20,2024-10,paid_search
256,Noah,Khan,noah.khan256@lumen.example,Miami,TX,2026-02-07,2026-01,social
257,Reya,Mehta,reya.mehta257@lumen.example,Chicago,AZ,2025-11-16,2025-10,referral
258,Rohan,Sharma,rohan.sharma258@lumen.example,Minneapolis,TX,2024-12-01,2024-11,paid_search
259,Ezra,Singh,ezra.singh259@lumen.example,Nashville,WA,2025-08-01,2025-07,social
260,Asha,Shah,asha.shah260@lumen.example,Portland,AZ,2025-01-13,2024-12,social
261,Zara,Vega,zara.vega261@lumen.example,Austin,FL,2025-10-05,2025-09,referral
262,Yara,Singh,yara.singh262@lumen.example,Seattle,MI,2025-12-11,2025-11,direct
263,Neil,Gupta,neil.gupta263@lumen.example,Boston,NC,2025-08-06,2025-07,organic
264,Jonah,Vega,jonah.vega264@lumen.example,Detroit,MO,2025-10-26,2025-10,email
265,Neil,Park,neil.park265@lumen.example,Dallas,MO,2025-03-31,2025-03,referral
266,Jonah,Park,jonah.park266@lumen.example,Miami,WA,2025-05-08,2025-04,referral
267,Leo,Chen,leo.chen267@lumen.example,Minneapolis,OR,2024-10-19,2024-10,email
268,Kai,Sharma,kai.sharma268@lumen.example,Dallas,IL,2025-04-25,2025-03,referral
269,Asha,Mehta,asha.mehta269@lumen.example,Boston,MA,2025-09-15,2025-08,email
270,Theo,Pillai,theo.pillai270@lumen.example,Denver,TN,2025-12-05,2025-11,organic
271,Noah,Gupta,noah.gupta271@lumen.example,Denver,MI,2025-05-07,2025-04,organic
272,Arjun,Das,arjun.das272@lumen.example,Boston,TN,2026-02-12,2026-01,email
273,Isla,Iyer,isla.iyer273@lumen.example,Miami,FL,2024-10-15,2024-10,organic
274,Priya,Khan,priya.khan274@lumen.example,Portland,MI,2025-07-12,2025-06,direct
275,Tariq,Reddy,tariq.reddy275@lumen.example,Portland,IL,2026-03-18,2026-02,direct
276,Ivan,Sharma,ivan.sharma276@lumen.example,Minneapolis,TX,2024-11-14,2024-10,paid_search
277,Mira,Pillai,mira.pillai277@lumen.example,Portland,MA,2025-05-25,2025-04,social
278,Reya,Nair,reya.nair278@lumen.example,Chicago,TX,2025-11-18,2025-10,paid_search
279,Jules,Reddy,jules.reddy279@lumen.example,Detroit,MI,2026-02-19,2026-01,paid_search
280,Isla,Park,isla.park280@lumen.example,Seattle,TX,2024-11-08,2024-10,organic
281,Maya,Iyer,maya.iyer281@lumen.example,Raleigh,MA,2024-11-21,2024-10,referral
282,Yara,Sen,yara.sen282@lumen.example,Phoenix,NC,2025-09-07,2025-08,referral
283,Priya,Chen,priya.chen283@lumen.example,Minneapolis,TN,2026-02-08,2026-01,social
284,Reya,Rao,reya.rao284@lumen.example,Detroit,MO,2025-12-31,2025-12,referral
285,Ravi,Sharma,ravi.sharma285@lumen.example,Portland,MN,2025-01-06,2024-12,organic
286,Isla,Khan,isla.khan286@lumen.example,Boston,TN,2026-02-15,2026-01,paid_search
287,Reya,Das,reya.das287@lumen.example,Chicago,MO,2024-10-05,2024-10,social
288,Neil,Kim,neil.kim288@lumen.example,Boston,OR,2025-03-02,2025-02,organic
289,Jules,Patel,jules.patel289@lumen.example,Atlanta,OR,2025-09-09,2025-08,paid_search
290,Maya,Ortiz,maya.ortiz290@lumen.example,Raleigh,WA,2026-01-17,2025-12,social
291,Leo,Khan,leo.khan291@lumen.example,Miami,MN,2025-12-09,2025-11,direct
292,Rohan,Ortiz,rohan.ortiz292@lumen.example,Austin,CO,2025-03-05,2025-02,email
